Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
05/31/2023,California,2021,50,2021-12-18,"6,594","6,031",42,"1,165",238,336,106,287,63,95,62,"1,446",356,544,506,,,,,,,,,,,,,,,
05/31/2023,California,2021,51,2021-12-25,"6,631","6,111",38,"1,240",243,354,102,271,79,109,92,"1,401",359,523,470,,,,,,,,,,,,,,,
05/31/2023,California,2021,52,2022-01-01,"6,821","6,276",51,"1,190",267,366,133,285,68,108,96,"1,439",359,625,556,,,,,,,,,,,,,,,
05/31/2023,California,2022,1,2022-01-08,"7,402","6,857",49,"1,234",280,402,140,287,81,124,27,"1,592",432,946,826,,,,,,,,,,,,,,,
05/31/2023,California,2022,2,2022-01-15,"7,956","7,356",34,"1,230",302,424,136,286,72,122,27,"1,661",415,"1,391","1,234",,,,,,,,,,,,,,,
05/31/2023,California,2022,3,2022-01-22,"8,225","7,626",50,"1,138",282,437,130,290,69,109,24,"1,562",461,"1,890","1,658",,,,,,,,,,,,,,,
05/31/2023,California,2022,4,2022-01-29,"8,127","7,595",37,"1,216",271,426,126,286,80,110,29,"1,451",439,"1,939","1,714",,,,,,,,,,,,,,,
05/31/2023,California,2022,5,2022-02-05,"7,928","7,401",51,"1,157",262,407,104,260,64,110,24,"1,419",409,"1,952","1,713",,,,,,,,,,,,,,,
05/31/2023,California,2022,6,2022-02-12,"7,764","7,088",44,"1,177",267,414,112,243,60,122,31,"1,508",424,"1,509","1,275",,,,,,,,,,,,,,,
05/31/2023,California,2022,7,2022-02-19,"6,892","6,286",34,"1,108",232,361,103,253,71,101,30,"1,386",400,"1,105",936,,,,,,,,,,,,,,,
05/31/2023,California,2022,8,2022-02-26,"6,431","5,898",38,"1,057",212,358,98,259,67,119,27,"1,318",380,811,659,,,,,,,,,,,,,,,
05/31/2023,California,2022,9,2022-03-05,"6,255","5,716",49,"1,146",255,308,104,248,70,122,45,"1,339",366,558,451,,,,,,,,,,,,,,,
05/31/2023,California,2022,10,2022-03-12,"5,906","5,394",44,"1,101",236,340,90,236,62,83,30,"1,299",374,432,330,,,,,,,,,,,,,,,
05/31/2023,California,2022,11,2022-03-19,"5,762","5,203",28,"1,130",201,287,88,217,72,93,41,"1,318",340,302,202,,,,,,,,,,,,,,,
05/31/2023,California,2022,12,2022-03-26,"5,632","5,095",28,"1,188",213,292,96,238,58,79,30,"1,199",343,242,167,,,,,,,,,,,,,,,
05/31/2023,California,2022,13,2022-04-02,"5,360","4,851",27,"1,082",206,289,91,211,54,86,35,"1,162",341,165,101,,,,,,,,,,,,,,,
05/31/2023,California,2022,14,2022-04-09,"5,504","4,914",27,"1,102",225,302,85,212,53,86,39,"1,251",315,135,96,,,,,,,,,,,,,,,
05/31/2023,California,2022,15,2022-04-16,"5,449","4,899",27,"1,144",206,291,73,195,63,95,39,"1,182",364,131,72,,,,,,,,,,,,,,,
05/31/2023,California,2022,16,2022-04-23,"5,306","4,773",29,"1,150",207,258,69,208,61,81,30,"1,203",320,101,59,,,,,,,,,,,,,,,
05/31/2023,California,2022,17,2022-04-30,"5,511","4,994",34,"1,204",198,315,74,196,66,105,37,"1,181",360,115,74,,,,,,,,,,,,,,,
05/31/2023,California,2022,18,2022-05-07,"5,371","4,832",21,"1,125",197,312,72,237,55,81,40,"1,187",343,107,50,,,,,,,,,,,,,,,
05/31/2023,California,2022,19,2022-05-14,"5,396","4,850",38,"1,136",206,251,80,193,45,98,30,"1,184",328,134,86,,,,,,,,,,,,,,,
05/31/2023,California,2022,20,2022-05-21,"5,469","4,925",34,"1,200",203,303,82,207,56,88,23,"1,194",315,146,94,,,,,,,,,,,,,,,
05/31/2023,California,2022,21,2022-05-28,"5,598","5,059",30,"1,149",197,341,90,222,64,94,46,"1,162",319,163,118,,,,,,,,,,,,,,,
05/31/2023,California,2022,22,2022-06-04,"5,591","5,022",33,"1,117",191,339,85,188,70,98,37,"1,197",343,154,107,,,,,,,,,,,,,,,
05/31/2023,California,2022,23,2022-06-11,"5,647","5,079",34,"1,180",204,341,71,216,54,87,34,"1,231",372,227,157,,,,,,,,,,,,,,,
05/31/2023,California,2022,24,2022-06-18,"5,462","4,873",35,"1,091",191,311,85,209,48,77,28,"1,198",317,210,148,,,,,,,,,,,,,,,
05/31/2023,California,2022,25,2022-06-25,"5,623","5,057",28,"1,189",224,314,57,229,58,93,40,"1,163",339,236,164,,,,,,,,,,,,,,,
05/31/2023,California,2022,26,2022-07-02,"5,635","5,066",36,"1,179",215,304,80,220,47,60,38,"1,197",344,284,199,,,,,,,,,,,,,,,
05/31/2023,California,2022,27,2022-07-09,"5,716","5,111",46,"1,140",217,300,84,192,59,93,40,"1,241",333,324,223,,,,,,,,,,,,,,,
05/31/2023,California,2022,28,2022-07-16,"5,569","4,996",31,"1,143",204,284,70,192,61,77,45,"1,205",308,322,221,,,,,,,,,,,,,,,
05/31/2023,California,2022,29,2022-07-23,"5,892","5,322",31,"1,185",217,347,97,173,74,92,45,"1,248",350,360,252,,,,,,,,,,,,,,,
05/31/2023,California,2022,30,2022-07-30,"5,649","5,130",22,"1,182",202,292,94,196,58,80,52,"1,187",328,405,292,,,,,,,,,,,,,,,
05/31/2023,California,2022,31,2022-08-06,"5,899","5,322",28,"1,145",196,298,69,211,61,109,54,"1,268",339,402,281,,,,,,,,,,,,,,,
05/31/2023,California,2022,32,2022-08-13,"5,750","5,110",37,"1,154",202,291,75,209,50,90,56,"1,245",304,333,234,,,,,,,,,,,,,,,
05/31/2023,California,2022,33,2022-08-20,"5,803","5,195",33,"1,205",209,306,63,223,59,86,48,"1,205",352,305,207,,,,,,,,,,,,,,,
05/31/2023,California,2022,34,2022-08-27,"5,478","4,902",32,"1,147",222,308,81,210,70,85,42,"1,079",299,252,170,,,,,,,,,,,,,,,
05/31/2023,California,2022,35,2022-09-03,"5,583","5,017",25,"1,235",194,278,86,211,50,93,71,"1,139",308,255,169,,,,,,,,,,,,,,,
05/31/2023,California,2022,36,2022-09-10,"6,000","5,284",28,"1,203",218,330,93,213,57,98,71,"1,318",330,252,152,,,,,,,,,,,,,,,
05/31/2023,California,2022,37,2022-09-17,"5,579","5,005",33,"1,128",206,348,76,199,57,109,57,"1,169",333,192,130,,,,,,,,,,,,,,,
05/31/2023,California,2022,38,2022-09-24,"5,545","5,007",45,"1,179",201,314,96,217,57,89,49,"1,146",339,208,141,,,,,,,,,,,,,,,
05/31/2023,California,2022,39,2022-10-01,"5,524","4,979",31,"1,173",193,284,76,197,60,97,73,"1,168",331,184,125,,,,,,,,,,,,,,,
05/31/2023,California,2022,40,2022-10-08,"5,473","4,920",24,"1,168",200,322,79,208,52,76,66,"1,136",349,134,81,,,,,,,,,,,,,,,
05/31/2023,California,2022,41,2022-10-15,"5,333","4,843",26,"1,212",182,304,76,197,63,84,59,"1,141",301,130,77,,,,,,,,,,,,,,,
05/31/2023,California,2022,42,2022-10-22,"5,331","4,839",29,"1,164",175,310,74,201,66,94,72,"1,178",288,113,67,,,,,,,,,,,,,,,
05/31/2023,California,2022,43,2022-10-29,"5,552","5,019",33,"1,144",202,285,76,202,54,101,74,"1,195",328,157,90,,,,,,,,,,,,,,,
05/31/2023,California,2022,44,2022-11-05,"5,730","5,221",41,"1,164",220,348,99,229,73,88,77,"1,199",348,140,86,,,,,,,,,,,,,,,
05/31/2023,California,2022,45,2022-11-12,"5,797","5,311",37,"1,155",220,337,113,235,72,108,97,"1,281",331,158,102,,,,,,,,,,,,,,,
05/31/2023,California,2022,46,2022-11-19,"6,056","5,558",37,"1,231",245,311,112,263,65,105,101,"1,356",366,166,126,,,,,,,,,,,,,,,
05/31/2023,California,2022,47,2022-11-26,"6,254","5,737",39,"1,156",240,364,176,278,66,107,97,"1,367",364,231,162,,,,,,,,,,,,,,,
05/31/2023,California,2022,48,2022-12-03,"6,687","6,196",40,"1,258",260,396,196,272,90,90,112,"1,449",395,304,204,,,,,,,,,,,,,,,
05/31/2023,California,2022,49,2022-12-10,"6,750","6,239",46,"1,203",255,403,212,309,74,99,124,"1,429",400,369,271,,,,,,,,,,,,,,,
05/31/2023,California,2022,50,2022-12-17,"6,677","6,176",51,"1,157",275,387,210,285,74,116,137,"1,431",374,361,259,,,,,,,,,,,,,,,
05/31/2023,California,2022,51,2022-12-24,"6,925","6,471",43,"1,232",289,421,191,314,62,95,125,"1,526",393,417,308,,,,,,,,,,,,,,,
05/31/2023,California,2022,52,2022-12-31,"6,708","6,260",43,"1,185",263,423,183,284,62,108,141,"1,465",412,411,311,,,,,,,,,,,,,,,
05/31/2023,California,2023,1,2023-01-07,"6,764","6,282",47,"1,221",256,350,179,277,76,120,184,"1,426",421,390,289,,,,,,,,,,,,,,,
05/31/2023,California,2023,2,2023-01-14,"6,413","5,948",31,"1,120",221,349,159,275,76,98,189,"1,450",396,346,243,,,,,,,,,,,,,,,
05/31/2023,California,2023,3,2023-01-21,"6,040","5,576",36,"1,174",217,334,120,280,67,103,185,"1,253",335,252,178,,,,,,,,,,,,,,,
05/31/2023,California,2023,4,2023-01-28,"6,236","5,785",46,"1,263",239,328,121,248,63,104,225,"1,394",350,244,165,,,,,,,,,,,,,,,
05/31/2023,California,2023,5,2023-02-04,"6,239","5,810",46,"1,200",248,353,134,250,88,104,207,"1,360",393,184,118,,,,,,,,,,,,,,,
05/31/2023,California,2023,6,2023-02-11,"6,173","5,769",39,"1,217",242,345,121,305,80,110,235,"1,293",351,182,130,,,,,,,,,,,,,,,
05/31/2023,California,2023,7,2023-02-18,"6,041","5,663",38,"1,121",248,332,127,269,84,116,241,"1,315",371,177,129,,,,,,,,,,,,,,,
05/31/2023,California,2023,8,2023-02-25,"6,228","5,835",48,"1,197",250,320,131,281,62,118,229,"1,379",362,189,137,,,,,,,,,,,,,,,
05/31/2023,California,2023,9,2023-03-04,"6,254","5,892",42,"1,145",246,340,123,269,62,94,263,"1,439",402,198,129,,,,,,,,,,,,,,,
05/31/2023,California,2023,10,2023-03-11,"6,156","5,804",44,"1,210",240,325,115,259,64,102,270,"1,337",362,195,130,,,,,,,,,,,,,,,
05/31/2023,California,2023,11,2023-03-18,"6,105","5,721",39,"1,159",233,324,93,268,77,125,300,"1,405",335,149,95,,,,,,,,,,,,,,,
05/31/2023,California,2023,12,2023-03-25,"5,617","5,308",43,"1,057",231,303,108,243,59,108,313,"1,225",301,130,93,,,,,,,,,,,,,,,
05/31/2023,California,2023,13,2023-04-01,"5,706","5,390",41,"1,112",214,339,70,238,64,95,346,"1,220",344,118,76,,,,,,,,,,,,,,,
05/31/2023,California,2023,14,2023-04-08,"5,658","5,356",43,"1,113",234,269,96,251,75,96,386,"1,180",349,120,77,,,,,,,,,,,,,,,
05/31/2023,California,2023,15,2023-04-15,"5,569","5,302",28,"1,096",216,306,90,229,69,108,368,"1,205",347,111,69,,,,,,,,,,,,,,,
05/31/2023,California,2023,16,2023-04-22,"5,546","5,289",36,"1,075",223,290,89,233,71,87,400,"1,201",335,122,81,,,,,,,,,,,,,,,
05/31/2023,California,2023,17,2023-04-29,"5,334","5,131",26,"1,135",184,308,92,241,69,83,417,"1,088",351,94,62,,,,,,,,,,,,,,,
05/31/2023,California,2023,18,2023-05-06,"4,778","4,678",27,"1,040",179,280,65,206,70,89,395,996,309,71,44,,,,,,,,,,,,,,,
05/31/2023,California,2023,19,2023-05-13,"4,286","4,282",21,"1,005",167,269,91,211,48,80,323,881,256,73,41,,,,,,,,,,,,,,,
05/31/2023,California,2023,20,2023-05-20,"3,219","3,219",14,780,128,201,43,144,34,63,206,718,223,41,29,,,,,,,,,,,,,,,
05/31/2023,Colorado,2020,1,2020-01-04,854,758,,157,19,33,,53,20,13,,177,47,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,2,2020-01-11,872,773,,176,25,41,16,48,,11,,168,47,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,3,2020-01-18,848,752,10,185,21,30,16,61,13,12,,164,49,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,4,2020-01-25,853,751,,180,21,39,27,60,21,17,,147,40,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,5,2020-02-01,793,707,,162,17,44,11,47,,11,,146,52,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,6,2020-02-08,847,755,,177,26,43,17,59,15,10,,155,35,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,7,2020-02-15,807,704,11,168,15,47,14,52,18,10,,133,41,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,8,2020-02-22,881,759,,179,28,39,10,49,10,18,,160,56,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,9,2020-02-29,842,742,,163,18,39,19,67,,,,163,41,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,10,2020-03-07,821,718,,150,21,33,16,57,12,,,155,44,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,11,2020-03-14,822,715,10,162,19,39,15,54,,13,,151,43,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
05/31/2023,Colorado,2020,12,2020-03-21,891,781,16,169,29,37,22,60,14,12,,155,40,17,12,,,,,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,13,2020-03-28,860,779,10,152,13,55,21,58,16,,,170,44,47,45,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,14,2020-04-04,967,890,18,177,26,51,16,52,18,12,,156,42,129,124,,,,,,,,,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,15,2020-04-11,"1,096",987,11,167,28,47,13,50,22,,,175,39,214,202,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,16,2020-04-18,"1,106","1,003",,172,26,65,,65,11,15,,176,49,218,197,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,17,2020-04-25,"1,067",949,,170,24,54,11,55,,11,,157,37,224,211,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,18,2020-05-02,999,890,,147,11,39,10,43,14,,,163,44,189,174,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,19,2020-05-09,906,784,,129,27,33,,36,13,,,154,41,139,127,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,20,2020-05-16,887,775,,158,20,43,,50,15,,,142,48,97,81,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,21,2020-05-23,847,747,12,140,23,29,,36,,,,184,39,93,79,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,22,2020-05-30,834,724,,144,19,34,,47,14,,0,139,45,75,66,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
05/31/2023,Colorado,2020,23,2020-06-06,820,706,,143,22,41,,44,10,,,144,30,63,49,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,24,2020-06-13,816,707,,147,23,32,,49,14,,,152,35,59,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,25,2020-06-20,863,747,,156,14,27,,48,18,10,,160,40,38,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,26,2020-06-27,877,742,11,162,27,41,,40,12,,,174,45,22,15,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,27,2020-07-04,788,682,,140,19,36,,29,14,,,153,47,25,23,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,28,2020-07-11,815,692,,137,23,47,,42,12,,,151,42,28,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,29,2020-07-18,808,683,,167,28,39,,42,11,12,,130,45,43,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,30,2020-07-25,833,707,,161,15,47,10,36,,,,150,54,33,27,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,31,2020-08-01,813,701,,159,21,33,,41,,,,154,38,36,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,32,2020-08-08,841,723,11,160,20,46,,45,,,10,146,39,39,34,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
05/31/2023,Colorado,2020,33,2020-08-15,836,710,10,144,23,35,,45,10,,,160,38,28,23,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,34,2020-08-22,863,735,10,151,22,40,,50,12,13,10,170,26,19,15,,,,,,,Suppressed (counts 1-9),,,,,,,,
05/31/2023,Colorado,2020,35,2020-08-29,817,708,,162,17,34,,40,,,,140,53,29,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,36,2020-09-05,743,637,,143,14,31,,35,10,,,130,43,20,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,37,2020-09-12,850,748,,168,28,31,,42,,10,,152,45,33,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,38,2020-09-19,804,700,10,162,25,46,,35,,,,138,34,21,20,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,39,2020-09-26,838,722,,163,17,32,,50,14,10,,161,38,24,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,40,2020-10-03,782,689,10,150,18,29,,38,12,,,141,49,35,28,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,41,2020-10-10,801,691,,145,17,34,,38,12,,,162,33,38,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,42,2020-10-17,867,779,13,163,25,36,,40,13,14,,164,41,41,34,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,43,2020-10-24,869,776,,147,25,41,,50,14,,,151,52,62,57,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,44,2020-10-31,907,828,,151,28,54,,46,,11,,148,45,96,86,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,45,2020-11-07,"1,007",894,12,163,19,67,,53,,,,145,50,167,148,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,46,2020-11-14,"1,040",941,,148,19,46,,59,14,20,,151,48,228,197,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,47,2020-11-21,"1,132","1,029",11,155,25,49,,57,13,,,165,43,267,230,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,48,2020-11-28,"1,216","1,117",11,177,28,57,,58,,,,188,48,348,306,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,49,2020-12-05,"1,256","1,148",13,163,29,50,,63,14,11,,148,33,448,390,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,50,2020-12-12,"1,258","1,155",14,157,26,58,,46,15,,,166,45,428,366,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,51,2020-12-19,"1,201","1,116",,170,36,41,,32,16,10,,161,44,402,351,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,52,2020-12-26,"1,100","1,013",,172,23,35,,39,13,10,,161,46,308,266,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2020,53,2021-01-02,"1,098",968,,153,31,48,,50,,11,,173,44,263,209,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,1,2021-01-09,"1,080",965,11,167,35,47,,46,14,13,,157,42,211,177,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,2,2021-01-16,"1,007",894,,182,23,38,,36,13,,,176,54,165,138,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,3,2021-01-23,985,851,,174,24,38,,39,17,13,,133,57,158,122,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,4,2021-01-30,932,830,,176,24,33,,41,15,13,,155,43,141,108,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,5,2021-02-06,931,822,,160,20,40,,64,17,,,155,38,118,94,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,6,2021-02-13,833,747,16,136,21,27,,48,16,,,156,39,100,80,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,7,2021-02-20,894,787,,148,32,31,,52,11,,0,167,48,65,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
05/31/2023,Colorado,2021,8,2021-02-27,872,755,12,143,20,48,,48,22,12,,146,47,59,46,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,9,2021-03-06,867,739,,150,16,43,,35,13,12,,147,51,51,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,10,2021-03-13,842,728,,153,18,39,,38,11,12,,156,41,50,36,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,11,2021-03-20,897,777,11,141,23,38,,44,13,10,,193,34,45,30,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,12,2021-03-27,884,760,10,151,27,44,,43,20,,,167,45,43,32,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,13,2021-04-03,837,720,,150,18,27,,48,14,12,,150,41,48,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,14,2021-04-10,802,687,,171,29,28,,40,11,,,134,38,26,19,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,15,2021-04-17,867,755,,136,25,33,,30,14,,,177,45,62,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,16,2021-04-24,833,711,,144,27,21,,38,17,13,,158,33,56,41,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,17,2021-05-01,844,726,,143,25,44,,50,12,,,148,50,54,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,18,2021-05-08,846,744,,149,17,46,,45,11,11,,163,36,72,62,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,19,2021-05-15,874,747,10,153,27,29,,40,17,12,,143,38,93,80,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,20,2021-05-22,844,721,,155,21,28,,42,15,,,135,36,69,60,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
05/31/2023,Colorado,2021,21,2021-05-29,818,704,,142,18,23,,48,15,13,,146,44,63,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
